Sample,Sample protolith type,U-Pb data? (Yes/No),Used in MDS?,Lu-Hf data? (Yes/No),Country,Region,Domain,Group/Strat unit,Lithology,Longitude,Latitude,Location method,Analytical method,Mineral,Reference,DOI URL,age,ageerr,
DA13-083,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Ambatolampy Group,Granite,47.5645,-18.91433333,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,795,13,
RK06349,Magmatic,Yes,No,Yes,Madagascar,Madagascar - Antongil-Masora,Masora Domain,Vohilava-Nosivolo Group,Biotite granite gneiss,48.35847222,-21.17291667,Reported,,Zircon,BGS et al. 2008/Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,796,33,
DA13-063,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Imorona-Itsindro,Quartz syenite,46.75338889,-20.55966667,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,798,8,
DA13-076,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Anaboriana-Manampotsy,,Granite,48.97616667,-18.90769444,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,813,10,
RK395,Magmatic,Yes,No,Yes,Madagascar,Madagascar - Antongil-Masora,Masora Domain,,Granodiorite,48.24683333,-21.07866667,Reported,,Zircon,BGS et al. 2008/Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,814,30,
DA13-017,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Ambatolampy Group,Granodiorite,46.97747222,-21.34613889,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,814,19,
DA13-064,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Imorona-Itsindro,Granite,46.73097222,-20.55313889,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,819,19,
PP156,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Tsaratanana Complex,Menazomby Unit quartzofeldspathic leucogneiss ,47.95944444,-17.06669444,Reported,SHRIMP,Zircon,BGS et al. 2008/Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,819,23,
E13.08,Magmatic,No,,Yes,Africa,Ethiopia,,,,35.625,9.16565,,,,"Blades, et al., 2015, PR-270",,821,17,
WD-5,Magmatic,Yes,No,No,India,India - Dharwar Craton,Western Dharwar Craton,Nuggihalli schist belt,orthogneiss,76.458670,13.034743,Reported,Cameca ims–4f ion microprobe,Zircon,Maibam et al. 2011,http://dx.doi.org/10.1007/s12040-011-0094-1,3060,8,
