Sample,Spot name,Collated,CoreRim,Sample protolith type,Country,Region,Region2,Domain,Lithology,Reference,Ref2,long,lat,age76,age76_2s,age638,age638_2s,age735,age735_2s,,
AYY-1,Zr9-2,2,R,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,518,39,532,26,,,,
AYY-1,Zr6-1,2,R,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,530,54,524,23,,,,
AYY-1,Zr9-1,2,R,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,540,63,539,25,,,,
AYY-1,Zr1-4,2,R,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,608,48,600,16,,,,
AYY-1,Zr1-3,2,R,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,635,81,628,24,,,,
AYY-1,Zr4-1,2,R,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,672,80,637,27,,,,
AYY-1,Zr6-2,2,,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,701,76,496,23,,,,
AYY-1,Zr7-1,2,,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,793,80,492,13,,,,
AYY-1,Zr6-3,2,,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,843,112,527,21,,,,
AYY-1,Zr2-2,2,,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,1798,45,1025,31,,,,
AYY-1,Zr2-1,2,,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,2429,40,2306,95,,,,
AYY-1,Zr3-1,2,,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,2441,51,2007,81,,,,
AYY-1,Zr1-1,2,,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,2467,40,2515,80,,,,
AYY-1,Zr1-2,2,,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,2509,40,2476,82,,,,
BDW197,BDW 197 18,2,inherited,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1758,18,1729,38,,,,98
BDW197,BDW 197 19,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1745,18,1742,31,,,,100
BDW197,BDW 197 22,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1897,18,1754,37,,,,92
BDW197,BDW 197 23,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2071,18,1982,35,,,,95
BDW197,BDW 197 24,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1814,18,1801,33,,,,99
BDW197,BDW 197 25,2,inherited,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1810,18,1788,33,,,,99
BDW197,BDW 197 26,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2395,17,2154,60,,,,89
BDW197,BDW 197 27,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1819,18,1799,35,,,,99
BDW197,BDW 197 28,2,R,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1811,18,1796,33,,,,99
BDW197,BDW 197 29,2,R,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1735,18,1519,27,,,,86
BDW197,BDW 197 30,2,R,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1803,18,1762,35,,,,98
BDW197,BDW 197 31,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1788,18,1724,38,,,,96
BDW197,BDW 197 31 B,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1796,18,1774,31,,,,99
BDW197,BDW 197 32,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1817,18,1867,34,,,,103
BDW197,BDW 197 33,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2459,17,2465,51,,,,100
BDW197,BDW 197 34,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1750,18,1637,35,,,,93
BDW197,BDW 197 35,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,3272,32,3053,87,,,,93
BDW197,BDW 197 36,2,inherited,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2327,17,2181,42,,,,93
